,smiles,ROMol,n_Atoms,Optimized_Energy
0,C=C,<rdkit.Chem.rdchem.Mol object at 0x152401aa5ac0>,2,-78.0387694119952
1,C=O,<rdkit.Chem.rdchem.Mol object at 0x152401aa5f20>,2,-113.86953646656846
2,C#N,<rdkit.Chem.rdchem.Mol object at 0x152401aa5f90>,2,-92.87694247778416
3,CCO,<rdkit.Chem.rdchem.Mol object at 0x152401a4d040>,3,-154.08991870585206
4,CCC(=O)O,<rdkit.Chem.rdchem.Mol object at 0x152401a4d0b0>,5,-266.8589851537801
5,CN=C=O,<rdkit.Chem.rdchem.Mol object at 0x152401a4d120>,4,-206.7955926393839
6,[Na+],<rdkit.Chem.rdchem.Mol object at 0x152401a4d190>,1,-161.65928881669325
7,[NH4+],<rdkit.Chem.rdchem.Mol object at 0x152401a4d200>,1,-56.54551702585539
8,[OH-],<rdkit.Chem.rdchem.Mol object at 0x152401a4d270>,1,-75.33262209999947
9,C1CCC(C2CCCCC2)CC1,<rdkit.Chem.rdchem.Mol object at 0x152401a4d2e0>,12,-467.2735073356253
10,c1cc(O)ccc1,<rdkit.Chem.rdchem.Mol object at 0x152401a4d350>,7,-305.5732997936101
11,c1ccncc1,<rdkit.Chem.rdchem.Mol object at 0x152401a4d3c0>,6,-246.70419460708197
12,c1cc(C(O)=O)ccc1,<rdkit.Chem.rdchem.Mol object at 0x152401a4d430>,9,-418.34013206382804
13,c1ccc2cnccc2c1,<rdkit.Chem.rdchem.Mol object at 0x152401a4d4a0>,10,-399.35975818427875
14,c1ccc(c2ccccc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x152401a4d510>,12,-460.2711605833405
15,[Na+].[O-]c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x152401a4d580>,8,-465.35368508237434
16,[Na+].[Cl-],<rdkit.Chem.rdchem.Mol object at 0x152401a4d5f0>,2,
